2019001,Anushka Rao,EVE,2023,HSS102:8.900000;ECO101:7.700000;EE101:6.100000;CS102:7.500000,MATH101:9.700000;102:8.800000;ML201:8.800000
2019002,Mihir Joshi,EVE,2019,MATH201:9.100000;502:9.600000;102:7.300000,PH102:9.200000;MATH101:7.900000
BT-23-0003,Rhea Yadav,CSE,2023,202:8.800000;CS101:9.600000;101:8.800000;ML201:9.000000,BIO101:6.500000;401:9.300000;COM101:7.200000
2019004,Tanvi Patel,ECE,2019,202:6.700000;302:7.700000;AI301:6.700000,502:7.300000;ECO101:9.000000
2019005,Aisha Iyer,CSSS,2020,201:7.300000;301:7.600000;COM101:9.400000;HSS101:9.700000,AI301:6.800000;502:8.600000
2019006,Gaurav Verma,CSD,2023,201:8.700000;101:9.200000;302:8.200000,AI201:9.200000
2019007,Pooja Nair,ME,2019,AI301:8.000000;201:7.700000;MATH102:9.700000;202:9.100000,BIO101:8.200000;EE101:7.300000;401:9.600000
BT-23-0008,Sameer Gupta,ME,2023,202:8.600000;COM101:9.700000;201:7.000000,502:7.900000;CS101:8.400000
2019009,Yash Singh,EVE,2018,302:8.600000;MATH102:9.100000;AI201:6.600000;BIO101:9.000000,202:7.200000;102:8.500000
2019010,Ankit Mehta,EVE,2019,101:6.500000;201:6.700000;MATH102:6.100000,AI201:6.700000
2019011,Kavya Desai,CB,2023,102:6.500000;EE101:7.900000;COM101:9.100000;PH101:10.000000,CS301:6.700000;HSS102:8.700000
2019012,Ravi Sharma,HCD,2019,201:6.700000;301:7.700000;CS201:6.500000,AI301:9.200000;302:6.600000
2019013,Sneha Malhotra,CSSS,2022,PH101:9.500000;CS101:9.600000;MATH102:9.900000;202:9.600000,HSS102:6.900000;101:8.300000;HSS101:9.600000
BT-24-0014,Advait Chopra,ECE,2019,302:8.700000;COM101:8.700000;102:7.900000,ML201:7.800000
2019015,Divya Shah,CSAI,2019,CS101:6.800000;101:9.400000;AI201:7.000000;BIO101:9.600000,ML301:9.200000;201:8.600000
2019016,Nikhil Kumar,CSD,2023,101:9.400000;ECO101:7.300000;HSS102:6.100000,BIO101:9.200000;201:8.700000
2019017,Sakshi Bhatt,CSAI,2022,HSS102:6.700000;COM101:9.900000;101:9.200000,PH101:9.000000;CS102:6.100000;MATH102:8.000000
2019018,Vivek Reddy,CB,2022,COM101:7.000000;CS201:7.500000;HSS101:6.500000,401:6.300000;CS301:8.900000
2019019,Ananya Kapoor,ME,2019,201:7.700000;CS102:9.100000;302:7.200000;ML301:9.100000,MATH102:8.100000;101:6.100000
BT-20-0020,Karan Agarwal,ECE,2019,MATH102:6.400000;BIO101:8.700000;101:6.300000,ML301:9.400000;CS301:7.000000
2019021,Rahul Rao,CSAI,2021,401:9.800000;MATH102:7.100000;AI301:7.000000,PH102:9.600000;202:8.100000
2019022,Siddharth Joshi,EVE,2021,COM101:9.400000;502:7.100000,301:8.300000;EE102:6.500000
2019023,Aditi Yadav,ME,2021,502:9.200000;102:9.900000;CS102:9.800000;ML201:8.700000,ECO101:6.500000;401:6.400000;COM101:8.100000
BT-24-0024,Arjun Patel,CB,2019,502:8.700000;MATH201:8.000000;MATH102:7.200000,PH102:8.700000
2019025,Neha Iyer,HCD,2018,HSS101:9.600000;EE101:9.600000;401:9.600000;302:6.700000,EE102:8.800000;101:9.200000
2019026,Rohan Verma,ECE,2020,201:9.200000;EE101:9.100000;502:7.300000,BIO101:8.400000;AI301:9.400000
BT-22-0027,Vikram Nair,CSAI,2023,AI201:8.900000;ML301:7.800000;HSS101:7.600000;ECO101:6.100000,401:7.700000;EE102:6.200000
2019028,Akash Gupta,EVE,2022,CS102:7.400000;HSS102:6.000000;502:8.600000,PH102:7.000000;HSS101:7.300000
2019029,Isha Singh,CSE,2019,PH102:7.500000;EE102:9.700000;102:6.200000;AI301:9.300000,CS101:8.400000;COM101:8.600000;MATH101:9.400000
2019030,Priya Mehta,CSE,2021,MATH102:9.900000;PH102:8.900000;AI201:10.000000,302:6.300000;301:6.600000
2019031,Shreya Desai,EVE,2020,502:6.700000;202:9.200000;102:8.300000;302:9.000000,MATH101:7.400000;101:6.700000;BIO101:7.700000
BT-22-0032,Aarav Sharma,CB,2022,MATH201:6.600000;BIO101:10.000000;CS301:7.500000,ECO101:6.300000
BT-23-0033,Anushka Malhotra,CSD,2022,302:7.500000;PH101:8.800000;CS301:6.400000;202:6.700000,BIO101:6.600000;401:8.000000;ECO101:6.100000
BT-24-0034,Mihir Chopra,CSD,2018,CS102:7.600000;102:7.300000;202:6.700000,502:6.400000;ECO101:6.100000
BT-20-0035,Rhea Shah,HCD,2023,EE101:6.400000;302:8.500000;201:6.000000;CS301:6.500000,ECO101:7.000000;102:7.000000;AI201:8.500000
2019036,Tanvi Kumar,HCD,2018,202:8.200000;MATH201:9.600000,ECO101:6.600000
2019037,Aisha Bhatt,EVE,2022,ECO101:9.300000;302:8.100000;BIO101:8.000000;PH102:6.900000,AI201:7.300000;MATH102:9.200000;502:7.000000
BT-23-0038,Gaurav Reddy,CSE,2018,MATH201:7.100000;101:7.800000;CS201:9.700000,102:6.100000;502:7.200000
BT-24-0039,Pooja Kapoor,ME,2023,302:7.300000;101:10.000000;EE102:8.600000,HSS102:7.000000;501:7.400000
2019040,Sameer Agarwal,CB,2022,501:7.700000;101:6.900000;HSS102:7.500000,302:6.200000;CS301:7.600000
BT-21-0041,Yash Rao,CSAI,2018,PH102:7.300000;202:6.100000;BIO101:6.000000;MATH101:8.400000,CS102:7.700000;AI301:7.600000
BT-22-0042,Ankit Joshi,HCD,2020,302:9.400000;COM101:8.000000;502:9.300000,ML301:8.600000
BT-23-0043,Kavya Yadav,CSAI,2018,PH101:8.800000;PH102:6.100000;201:8.000000;102:7.400000,ML201:7.900000;CS301:9.900000;HSS102:6.800000
2019044,Ravi Patel,ECE,2023,301:6.700000;101:7.300000;AI301:9.600000,PH101:6.300000
2019045,Sneha Iyer,CB,2022,102:6.100000;MATH101:7.600000;101:9.500000;COM101:6.600000,301:7.500000;PH102:8.700000;401:7.200000
2019046,Advait Verma,EVE,2020,ML301:8.700000;HSS101:8.700000;AI301:9.600000,CS101:9.900000;MATH201:9.000000
BT-22-0047,Divya Nair,CSE,2022,EE102:9.900000;CS301:6.900000;301:9.900000,502:6.100000;302:7.000000;202:6.600000
2019048,Nikhil Gupta,CSD,2021,AI201:8.600000;301:6.500000;CS201:6.100000,202:7.000000;COM101:7.400000
2019049,Sakshi Singh,ME,2023,501:6.000000;AI201:9.400000;BIO101:6.500000;EE102:6.400000,301:6.500000;202:9.600000
2019050,Vivek Mehta,CB,2019,102:9.400000;401:8.800000,202:9.000000
